N,Trial,Rep,Pos
0,5.0,6.0,0.0
1,6.0,3.0,1.0
2,5.0,8.0,0.0
3,11.0,8.0,1.0
4,6.0,7.0,1.0
5,1.0,2.0,0.0
6,1.0,9.0,0.0
7,2.0,4.0,0.0
8,10.0,3.0,1.0
9,0.0,9.0,0.0
10,9.0,4.0,1.0
11,3.0,9.0,0.0
12,3.0,0.0,0.0
13,11.0,2.0,1.0
14,8.0,5.0,1.0
15,5.0,2.0,0.0
16,8.0,0.0,1.0
17,1.0,0.0,0.0
18,1.0,5.0,0.0
19,7.0,7.0,1.0
20,1.0,4.0,0.0
21,9.0,7.0,1.0
22,5.0,3.0,0.0
23,10.0,2.0,1.0
24,4.0,0.0,0.0
25,10.0,5.0,1.0
26,4.0,2.0,0.0
27,2.0,1.0,0.0
28,6.0,4.0,1.0
29,7.0,6.0,1.0
30,5.0,9.0,0.0
31,4.0,7.0,0.0
32,0.0,6.0,0.0
33,11.0,0.0,1.0
34,11.0,3.0,1.0
35,8.0,7.0,1.0
36,0.0,5.0,0.0
37,8.0,1.0,1.0
38,5.0,0.0,0.0
39,3.0,5.0,0.0
40,4.0,3.0,0.0
41,1.0,7.0,0.0
42,0.0,7.0,0.0
43,9.0,8.0,1.0
44,3.0,6.0,0.0
45,5.0,4.0,0.0
46,3.0,8.0,0.0
47,5.0,7.0,0.0
48,10.0,4.0,1.0
49,2.0,6.0,0.0
50,9.0,9.0,1.0
51,3.0,4.0,0.0
52,8.0,2.0,1.0
53,7.0,4.0,1.0
54,0.0,2.0,0.0
55,9.0,2.0,1.0
56,4.0,6.0,0.0
57,10.0,8.0,1.0
58,7.0,9.0,1.0
59,2.0,0.0,0.0
60,0.0,0.0,0.0
61,10.0,1.0,1.0
62,1.0,1.0,0.0
63,0.0,3.0,0.0
64,6.0,9.0,1.0
65,8.0,6.0,1.0
66,6.0,6.0,1.0
67,6.0,1.0,1.0
68,9.0,5.0,1.0
69,3.0,1.0,0.0
70,7.0,8.0,1.0
71,4.0,5.0,0.0
72,2.0,7.0,0.0
73,10.0,9.0,1.0
74,7.0,2.0,1.0
75,6.0,0.0,1.0
76,9.0,1.0,1.0
77,8.0,8.0,1.0
78,4.0,4.0,0.0
79,1.0,8.0,0.0
80,4.0,8.0,0.0
81,11.0,1.0,1.0
82,3.0,7.0,0.0
83,2.0,5.0,0.0
84,7.0,3.0,1.0
85,0.0,8.0,0.0
86,5.0,1.0,0.0
87,10.0,6.0,1.0
88,8.0,3.0,1.0
89,10.0,0.0,1.0
90,4.0,9.0,0.0
91,7.0,0.0,1.0
92,9.0,3.0,1.0
93,10.0,7.0,1.0
94,5.0,5.0,0.0
95,2.0,8.0,0.0
96,0.0,1.0,0.0
97,3.0,2.0,0.0
98,11.0,5.0,1.0
99,11.0,4.0,1.0
100,6.0,5.0,1.0
101,7.0,1.0,1.0
102,11.0,6.0,1.0
103,2.0,3.0,0.0
104,1.0,6.0,0.0
105,11.0,7.0,1.0
106,4.0,1.0,0.0
107,0.0,4.0,0.0
108,9.0,6.0,1.0
109,8.0,9.0,1.0
110,2.0,2.0,0.0
111,6.0,8.0,1.0
112,7.0,5.0,1.0
113,6.0,2.0,1.0
114,1.0,3.0,0.0
115,11.0,9.0,1.0
116,9.0,0.0,1.0
117,2.0,9.0,0.0
118,3.0,3.0,0.0
119,8.0,4.0,1.0
