N,Trial,Rep,Pos
0,1.0,4.0,0.0
1,9.0,4.0,1.0
2,10.0,6.0,1.0
3,8.0,8.0,1.0
4,7.0,8.0,1.0
5,2.0,6.0,0.0
6,5.0,5.0,0.0
7,11.0,8.0,1.0
8,6.0,4.0,1.0
9,9.0,2.0,1.0
10,4.0,3.0,0.0
11,10.0,7.0,1.0
12,11.0,9.0,1.0
13,9.0,5.0,1.0
14,9.0,8.0,1.0
15,3.0,8.0,0.0
16,1.0,2.0,0.0
17,10.0,4.0,1.0
18,1.0,6.0,0.0
19,3.0,5.0,0.0
20,0.0,5.0,0.0
21,7.0,2.0,1.0
22,1.0,9.0,0.0
23,9.0,3.0,1.0
24,2.0,5.0,0.0
25,5.0,3.0,0.0
26,10.0,9.0,1.0
27,11.0,3.0,1.0
28,2.0,9.0,0.0
29,8.0,1.0,1.0
30,0.0,2.0,0.0
31,6.0,5.0,1.0
32,2.0,8.0,0.0
33,3.0,4.0,0.0
34,8.0,6.0,1.0
35,6.0,0.0,1.0
36,1.0,7.0,0.0
37,6.0,3.0,1.0
38,5.0,9.0,0.0
39,6.0,1.0,1.0
40,7.0,6.0,1.0
41,6.0,2.0,1.0
42,9.0,7.0,1.0
43,1.0,1.0,0.0
44,11.0,6.0,1.0
45,0.0,9.0,0.0
46,7.0,9.0,1.0
47,9.0,6.0,1.0
48,2.0,0.0,0.0
49,4.0,8.0,0.0
50,4.0,9.0,0.0
51,6.0,7.0,1.0
52,8.0,5.0,1.0
53,11.0,4.0,1.0
54,4.0,6.0,0.0
55,3.0,1.0,0.0
56,1.0,0.0,0.0
57,11.0,2.0,1.0
58,4.0,4.0,0.0
59,7.0,7.0,1.0
60,5.0,1.0,0.0
61,10.0,0.0,1.0
62,9.0,9.0,1.0
63,10.0,3.0,1.0
64,3.0,9.0,0.0
65,3.0,2.0,0.0
66,8.0,4.0,1.0
67,7.0,1.0,1.0
68,0.0,0.0,0.0
69,8.0,9.0,1.0
70,0.0,1.0,0.0
71,0.0,7.0,0.0
72,3.0,3.0,0.0
73,8.0,2.0,1.0
74,8.0,3.0,1.0
75,11.0,0.0,1.0
76,11.0,5.0,1.0
77,0.0,3.0,0.0
78,5.0,2.0,0.0
79,9.0,1.0,1.0
80,3.0,0.0,0.0
81,7.0,3.0,1.0
82,3.0,6.0,0.0
83,5.0,4.0,0.0
84,11.0,7.0,1.0
85,4.0,2.0,0.0
86,0.0,6.0,0.0
87,2.0,4.0,0.0
88,6.0,9.0,1.0
89,8.0,7.0,1.0
90,2.0,7.0,0.0
91,5.0,7.0,0.0
92,7.0,4.0,1.0
93,4.0,0.0,0.0
94,4.0,5.0,0.0
95,2.0,2.0,0.0
96,1.0,8.0,0.0
97,1.0,3.0,0.0
98,10.0,8.0,1.0
99,6.0,6.0,1.0
100,11.0,1.0,1.0
101,0.0,4.0,0.0
102,8.0,0.0,1.0
103,10.0,1.0,1.0
104,10.0,2.0,1.0
105,4.0,7.0,0.0
106,2.0,3.0,0.0
107,9.0,0.0,1.0
108,1.0,5.0,0.0
109,5.0,8.0,0.0
110,2.0,1.0,0.0
111,5.0,6.0,0.0
112,3.0,7.0,0.0
113,7.0,0.0,1.0
114,6.0,8.0,1.0
115,0.0,8.0,0.0
116,10.0,5.0,1.0
117,5.0,0.0,0.0
118,7.0,5.0,1.0
119,4.0,1.0,0.0
