N,Trial,Rep,Pos
0,1.0,4.0,0.0
1,2.0,8.0,0.0
2,6.0,1.0,1.0
3,1.0,3.0,0.0
4,9.0,2.0,1.0
5,5.0,9.0,0.0
6,2.0,7.0,0.0
7,0.0,8.0,0.0
8,7.0,2.0,1.0
9,8.0,3.0,1.0
10,3.0,0.0,0.0
11,0.0,9.0,0.0
12,10.0,8.0,1.0
13,7.0,3.0,1.0
14,3.0,8.0,0.0
15,11.0,5.0,1.0
16,5.0,8.0,0.0
17,3.0,5.0,0.0
18,6.0,6.0,1.0
19,4.0,5.0,0.0
20,11.0,4.0,1.0
21,11.0,1.0,1.0
22,10.0,9.0,1.0
23,8.0,6.0,1.0
24,6.0,8.0,1.0
25,0.0,5.0,0.0
26,1.0,9.0,0.0
27,2.0,1.0,0.0
28,4.0,9.0,0.0
29,9.0,4.0,1.0
30,8.0,0.0,1.0
31,4.0,0.0,0.0
32,1.0,0.0,0.0
33,6.0,4.0,1.0
34,5.0,0.0,0.0
35,0.0,2.0,0.0
36,7.0,6.0,1.0
37,7.0,1.0,1.0
38,4.0,1.0,0.0
39,1.0,7.0,0.0
40,5.0,2.0,0.0
41,11.0,2.0,1.0
42,9.0,3.0,1.0
43,5.0,3.0,0.0
44,10.0,3.0,1.0
45,3.0,6.0,0.0
46,7.0,0.0,1.0
47,3.0,4.0,0.0
48,2.0,3.0,0.0
49,1.0,1.0,0.0
50,9.0,7.0,1.0
51,9.0,0.0,1.0
52,11.0,6.0,1.0
53,6.0,2.0,1.0
54,11.0,0.0,1.0
55,6.0,0.0,1.0
56,6.0,9.0,1.0
57,3.0,9.0,0.0
58,4.0,2.0,0.0
59,2.0,2.0,0.0
60,8.0,8.0,1.0
61,0.0,0.0,0.0
62,2.0,5.0,0.0
63,5.0,1.0,0.0
64,7.0,4.0,1.0
65,3.0,2.0,0.0
66,6.0,7.0,1.0
67,9.0,9.0,1.0
68,0.0,1.0,0.0
69,8.0,7.0,1.0
70,7.0,5.0,1.0
71,5.0,5.0,0.0
72,3.0,1.0,0.0
73,0.0,3.0,0.0
74,8.0,2.0,1.0
75,7.0,8.0,1.0
76,2.0,6.0,0.0
77,10.0,4.0,1.0
78,0.0,7.0,0.0
79,1.0,6.0,0.0
80,2.0,4.0,0.0
81,6.0,3.0,1.0
82,10.0,0.0,1.0
83,0.0,4.0,0.0
84,10.0,7.0,1.0
85,0.0,6.0,0.0
86,5.0,4.0,0.0
87,8.0,1.0,1.0
88,7.0,7.0,1.0
89,8.0,4.0,1.0
90,10.0,6.0,1.0
91,5.0,7.0,0.0
92,8.0,9.0,1.0
93,6.0,5.0,1.0
94,9.0,8.0,1.0
95,9.0,1.0,1.0
96,11.0,3.0,1.0
97,11.0,9.0,1.0
98,2.0,9.0,0.0
99,10.0,2.0,1.0
100,11.0,7.0,1.0
101,4.0,3.0,0.0
102,4.0,4.0,0.0
103,5.0,6.0,0.0
104,4.0,6.0,0.0
105,7.0,9.0,1.0
106,9.0,6.0,1.0
107,10.0,5.0,1.0
108,1.0,5.0,0.0
109,1.0,8.0,0.0
110,8.0,5.0,1.0
111,1.0,2.0,0.0
112,10.0,1.0,1.0
113,11.0,8.0,1.0
114,2.0,0.0,0.0
115,9.0,5.0,1.0
116,4.0,7.0,0.0
117,4.0,8.0,0.0
118,3.0,7.0,0.0
119,3.0,3.0,0.0
